company,model,year,fuel_type,transmission,km_driven,owner_type,mileage,engine,price
Ford,Figo,2017,Electric,Manual,145017,Third,300.0,1555,2104237
Maruti,Swift,2025,Electric,Manual,52639,Second,300.0,851,1865688
Mahindra,Thar,2021,CNG,Automatic,26471,Second,12.12,2463,4690626
Mahindra,XUV700,2025,Petrol,Manual,69823,First,17.04,1908,5434415
Honda,Jazz,2025,Petrol,Manual,72172,Second,21.69,1585,872423
Honda,Civic,2016,Petrol,Automatic,103384,Third,27.41,1206,452206
Audi,A4,2016,CNG,Manual,15766,Third,11.73,3422,4072230
Audi,A6,2015,Electric,Automatic,118645,First,300.0,3483,6734157
Ford,EcoSport,2023,CNG,Automatic,119183,Second,15.55,2997,3022507
Hyundai,Verna,2022,Diesel,Automatic,104349,Third,18.29,1144,1037520
Toyota,Camry,2019,CNG,Automatic,77422,Third,12.06,2638,1601468
Ford,Endeavour,2023,Diesel,Automatic,133665,Third,16.76,2417,1406156
Ford,Figo,2018,CNG,Automatic,144177,Second,14.55,2204,2334657
Volkswagen,Vento,2019,CNG,Manual,55484,First,19.2,1123,844002
Volkswagen,Vento,2024,CNG,Manual,82659,First,21.61,1032,1284868
BMW,3 Series,2019,Petrol,Manual,81581,Third,14.61,4856,4674900
Maruti,Dzire,2019,Electric,Automatic,94314,Second,300.0,988,1287393
Volkswagen,Polo,2016,Electric,Automatic,19053,First,300.0,955,1528497
Toyota,Fortuner,2023,Electric,Manual,104713,Third,300.0,2422,2797317
Ford,Endeavour,2024,Petrol,Manual,60318,First,15.96,2041,2674752
BMW,3 Series,2017,Petrol,Automatic,128184,Second,8.23,3192,3954397
Volkswagen,Polo,2025,Diesel,Automatic,56857,Third,19.15,1235,1343776
Tata,Tiago,2016,Petrol,Manual,80657,Second,19.24,1249,737747
Tata,Punch,2023,Electric,Automatic,15449,First,300.0,1242,2230164
Toyota,Fortuner,2025,CNG,Manual,128338,First,15.91,2562,2535917
Mercedes,E-Class,2025,Electric,Manual,96215,Second,300.0,3672,6237350
Mahindra,Bolero,2022,CNG,Automatic,14619,Third,12.53,2431,2959718
Ford,Figo,2015,Electric,Automatic,54173,First,300.0,2561,4312181
Maruti,Baleno,2019,Diesel,Automatic,132064,Second,18.29,924,826273
Tata,Punch,2015,Electric,Manual,34743,First,300.0,1272,830665
Tata,Punch,2019,Electric,Automatic,68892,Second,300.0,1267,1615879
Mercedes,GLA,2017,Petrol,Automatic,94096,Second,9.87,4079,2428096
Tata,Punch,2024,Electric,Manual,146185,Second,300.0,1295,1270670
Mahindra,XUV700,2018,Electric,Manual,16441,Second,300.0,2151,3713821
Audi,Q5,2017,Electric,Manual,136672,First,300.0,4417,3507157
Volkswagen,Polo,2023,Electric,Manual,42789,Third,300.0,1219,929943
Tata,Harrier,2024,Electric,Manual,144885,Second,300.0,1189,1660128
Maruti,Dzire,2016,Diesel,Automatic,28692,First,27.78,1244,792997
Tata,Nexon,2015,CNG,Manual,98969,Second,22.31,1183,522770
Mercedes,GLA,2017,Diesel,Manual,105281,First,12.78,4538,6654588
Honda,Amaze,2022,CNG,Automatic,7463,Second,27.01,1276,1131139
Mahindra,Thar,2025,Electric,Automatic,84199,Second,300.0,1907,5671300
Ford,Figo,2020,CNG,Automatic,108758,First,12.05,2062,1745443
Volkswagen,Vento,2018,CNG,Manual,54841,Third,20.51,1435,523873
Audi,Q5,2015,CNG,Automatic,100646,First,8.92,4999,4214983
Ford,EcoSport,2018,Diesel,Automatic,136542,Third,16.98,2058,1614246
Volkswagen,Vento,2020,Petrol,Automatic,41898,First,27.67,1572,2088614
BMW,5 Series,2016,Electric,Manual,145659,Second,300.0,2506,3306224
Audi,A6,2016,Diesel,Automatic,90984,First,9.55,4498,3668101
Volkswagen,Tiguan,2019,Electric,Manual,16887,First,300.0,838,2272458
Toyota,Innova,2021,Electric,Automatic,146608,Third,300.0,2358,1778289
Audi,A4,2022,Electric,Automatic,102132,First,300.0,2889,9331261
Hyundai,Verna,2023,CNG,Manual,77320,Second,27.68,994,1411712
Toyota,Fortuner,2015,CNG,Manual,58793,First,16.98,1640,2667821
Toyota,Innova,2020,Diesel,Manual,42929,Second,15.24,1766,2140630
Maruti,Baleno,2015,CNG,Manual,89874,Third,19.74,816,231333
Ford,Figo,2016,Petrol,Automatic,99906,Second,15.56,2551,2318561
Mercedes,C-Class,2025,CNG,Automatic,13165,Third,14.99,2249,10079536
Hyundai,Venue,2022,Petrol,Manual,43884,Second,19.26,867,1302944
Mercedes,GLA,2019,Electric,Automatic,34992,First,300.0,4681,15360200
Toyota,Glanza,2022,Diesel,Automatic,123882,Second,14.5,2316,1723171
Mahindra,Thar,2020,Diesel,Automatic,28914,First,12.56,1674,3012124
Mahindra,XUV700,2023,Petrol,Automatic,37042,Third,14.12,2341,5755440
Ford,Figo,2015,CNG,Automatic,32158,Second,15.04,2683,1736584
Toyota,Fortuner,2020,CNG,Manual,64286,Second,17.07,2378,3901137
Audi,Q5,2015,CNG,Manual,76636,First,13.34,4878,4226294
Honda,Amaze,2024,Electric,Manual,13036,First,300.0,893,1961229
Volkswagen,Vento,2017,CNG,Automatic,90035,Third,27.41,1595,439158
Honda,Amaze,2024,Petrol,Manual,121159,Second,22.24,1477,1255687
Toyota,Fortuner,2020,Electric,Manual,132567,Second,300.0,2579,1214401
Mercedes,C-Class,2015,Diesel,Automatic,40975,First,10.03,3046,4116683
Ford,EcoSport,2017,Electric,Manual,97842,Third,300.0,1647,1000658
Volkswagen,Polo,2020,Electric,Automatic,114495,Third,300.0,1096,491350
Honda,Jazz,2020,Petrol,Automatic,68783,First,23.89,1246,1904102
Tata,Harrier,2018,CNG,Manual,138820,First,19.14,1448,963498
Mahindra,Thar,2025,Diesel,Manual,43389,First,13.18,2024,6525976
Audi,A4,2017,Electric,Automatic,122677,Third,300.0,4789,6162695
Mercedes,E-Class,2025,CNG,Manual,22900,Second,11.1,3920,9215053
Mercedes,C-Class,2020,Petrol,Automatic,123466,Second,8.4,2154,4456918
Hyundai,Grand i10,2024,Electric,Automatic,15753,Third,300.0,1260,1506623
Volkswagen,Tiguan,2017,Petrol,Automatic,95030,First,18.84,1531,680492
Volkswagen,Vento,2023,Diesel,Automatic,79158,Second,22.09,1196,1708686
Maruti,Vitara Brezza,2025,CNG,Manual,29774,Second,24.78,1371,1449359
Audi,Q5,2017,CNG,Manual,42074,Third,10.17,3432,4204138
Hyundai,Verna,2023,Electric,Automatic,142990,First,300.0,895,1895997
Maruti,Alto,2019,Diesel,Manual,132473,Second,20.27,996,468542
Tata,Nexon,2023,Petrol,Automatic,39353,Third,21.77,1411,910374
Mercedes,C-Class,2022,Petrol,Automatic,67267,Second,12.27,3819,8617248
Toyota,Camry,2022,Diesel,Automatic,120499,Third,16.62,2445,2634746
Ford,EcoSport,2018,Diesel,Automatic,130983,First,15.33,2260,1642768
BMW,3 Series,2019,Petrol,Manual,122786,Second,9.03,4102,4305666
Toyota,Glanza,2020,Petrol,Automatic,108928,First,14.24,2528,3552311
Mahindra,XUV700,2015,CNG,Manual,92894,Third,12.83,1799,1258318
Volkswagen,Tiguan,2017,Electric,Automatic,6376,Third,300.0,881,1166293
BMW,X5,2024,Electric,Manual,67295,Second,300.0,3233,8012448
Mercedes,E-Class,2016,Petrol,Automatic,145523,Third,12.42,2067,3530374
Honda,Civic,2021,Petrol,Automatic,114200,First,24.64,991,692385
Mahindra,Scorpio,2023,Petrol,Automatic,16412,Second,14.32,2801,4563607
Maruti,Alto,2016,CNG,Manual,32174,Third,23.82,1590,699028
Mahindra,Thar,2025,Diesel,Automatic,130444,Third,13.09,2793,1682980
Volkswagen,Polo,2019,Diesel,Manual,15985,First,27.33,1123,2115030
BMW,5 Series,2019,Petrol,Manual,98578,Second,14.06,2195,4411954
Mahindra,Bolero,2021,Electric,Automatic,53973,Second,300.0,2516,5173342
BMW,5 Series,2016,Electric,Manual,52305,Second,300.0,4234,3549063
Audi,A6,2019,Electric,Automatic,121367,First,300.0,3439,7925355
Ford,Endeavour,2025,Petrol,Manual,111485,Third,15.08,2244,1795075
Honda,Jazz,2015,Diesel,Manual,101030,First,21.83,1170,348546
Audi,A6,2020,CNG,Automatic,41095,First,10.57,4168,9019025
Toyota,Fortuner,2015,Diesel,Automatic,106446,Third,12.71,2650,1421960
Toyota,Camry,2022,Diesel,Manual,24412,First,13.04,2425,5792434
Audi,A6,2025,CNG,Manual,147126,Third,14.24,3189,3213425
Audi,A4,2020,Diesel,Manual,41405,First,13.53,2969,4452978
Mercedes,E-Class,2022,Diesel,Manual,86078,First,15.0,3630,9402650
Ford,Figo,2016,Diesel,Automatic,24441,Third,14.79,2421,3048341
BMW,X5,2024,Diesel,Manual,136822,Second,13.82,2226,6605871
Honda,Amaze,2020,Diesel,Automatic,79461,Third,20.51,880,919477
Tata,Punch,2023,Petrol,Manual,45421,Third,24.59,975,1265913
Mercedes,C-Class,2015,Petrol,Manual,74377,Third,9.48,4667,4037541
Audi,A4,2022,CNG,Automatic,69193,Second,10.84,4805,8302487
Maruti,Baleno,2022,Electric,Automatic,58483,Second,300.0,1148,2054025
Mahindra,Thar,2021,Diesel,Automatic,32835,Third,13.45,2153,2151554
Toyota,Innova,2016,Petrol,Automatic,114611,Second,17.78,2008,1377736
Mercedes,GLA,2020,Diesel,Manual,139932,Second,11.49,3912,4179569
Hyundai,Venue,2023,Electric,Manual,97509,First,300.0,849,2315304
Audi,Q5,2022,CNG,Manual,117965,First,14.18,2548,6590044
Mahindra,Scorpio,2021,Petrol,Manual,80655,Second,14.32,1650,3233938
Tata,Punch,2025,Petrol,Manual,108259,First,25.95,1182,1436733
Mahindra,XUV700,2018,Electric,Manual,15201,First,300.0,1780,5132931
Honda,Amaze,2020,CNG,Manual,83442,Second,21.36,1407,1360721
Mercedes,E-Class,2022,Petrol,Automatic,33732,Second,12.09,3706,5057265
Tata,Punch,2024,Diesel,Manual,130946,Third,23.24,974,917555
Audi,A4,2015,Petrol,Manual,120615,First,10.93,3284,4012510
Ford,Figo,2024,Electric,Manual,41197,Third,300.0,2562,4204326
Volkswagen,Tiguan,2021,CNG,Manual,144756,Second,23.46,1150,686473
Toyota,Innova,2019,CNG,Manual,80760,Second,13.24,2943,2723807
Mahindra,Thar,2019,Petrol,Automatic,95474,Second,13.74,1799,2556081
Hyundai,Verna,2022,CNG,Automatic,57970,First,20.71,1351,1480052
Mercedes,GLA,2024,Diesel,Manual,144209,First,12.47,2924,3435370
Mahindra,Bolero,2016,Diesel,Manual,46403,Third,15.92,2333,2277429
Toyota,Camry,2020,CNG,Manual,65875,First,16.43,2595,1719114
Honda,Jazz,2017,Petrol,Automatic,53840,Second,27.62,1566,1087628
Maruti,Alto,2024,Petrol,Automatic,124104,Second,23.43,1456,1758507
Honda,Jazz,2019,Diesel,Manual,47596,Second,22.59,1548,1079955
Maruti,Vitara Brezza,2020,CNG,Manual,111296,First,23.15,1237,538146
Hyundai,Creta,2017,Electric,Automatic,6790,First,300.0,1067,2570118
Mahindra,Thar,2024,Petrol,Automatic,99254,Third,13.42,2918,1798601
Honda,Jazz,2025,CNG,Manual,82342,Third,24.15,1176,952933
Volkswagen,Polo,2022,CNG,Automatic,148978,Third,25.57,1282,649119
Audi,Q5,2016,Electric,Automatic,34414,First,300.0,2252,10343958
BMW,3 Series,2017,CNG,Automatic,58844,First,12.08,4936,4703198
Volkswagen,Polo,2022,Diesel,Automatic,20135,Second,22.62,1372,1944865
Ford,Endeavour,2015,Diesel,Manual,116069,First,16.2,2205,2571341
Hyundai,Venue,2015,CNG,Automatic,40501,First,24.42,1584,1296856
Ford,Endeavour,2021,Electric,Manual,146374,Third,300.0,1772,1831090
BMW,5 Series,2023,Diesel,Manual,10959,First,11.24,3222,14216555
Ford,EcoSport,2018,Electric,Automatic,77259,First,300.0,1886,2283822
Audi,A6,2024,Petrol,Manual,22639,First,12.16,2413,12080152
Maruti,Baleno,2015,Electric,Automatic,146494,First,300.0,1022,383998
Tata,Tiago,2024,CNG,Automatic,84105,First,27.86,946,2313264
Tata,Harrier,2015,Diesel,Automatic,134924,Third,27.72,848,644640
Mahindra,Bolero,2021,Diesel,Automatic,53202,Second,14.84,2601,3041805
Honda,Jazz,2015,Electric,Automatic,143934,Third,300.0,937,499514
Audi,A4,2022,CNG,Manual,54933,Third,9.88,2211,3480804
Toyota,Innova,2022,Diesel,Automatic,9019,Second,17.62,1933,3284972
Volkswagen,Polo,2024,Diesel,Automatic,149724,First,25.76,1129,1495277
Audi,A6,2019,CNG,Automatic,135358,Third,8.69,3908,4712316
Mahindra,XUV700,2020,CNG,Automatic,63005,First,12.1,1798,5441724
Mercedes,GLA,2021,CNG,Manual,91472,First,10.66,2942,5628170
Audi,Q5,2020,CNG,Automatic,133606,Third,9.18,3887,3885919
BMW,5 Series,2017,Petrol,Manual,17717,First,10.89,2026,5097393
Honda,City,2018,Electric,Automatic,131669,First,300.0,1475,473980
Ford,EcoSport,2015,CNG,Automatic,136652,First,16.04,2929,1175116
Hyundai,Grand i10,2017,Diesel,Manual,143007,Third,26.15,1058,491896
Hyundai,Verna,2021,Electric,Manual,64207,Third,300.0,1107,671251
Audi,A4,2016,Electric,Automatic,149887,Second,300.0,3949,2338580
Hyundai,Venue,2021,CNG,Manual,16154,Third,20.11,1035,1412813
Hyundai,Verna,2023,Petrol,Manual,9104,Second,23.87,1012,1989828
Tata,Tiago,2024,Diesel,Automatic,146705,Third,21.84,1139,658269
Hyundai,Grand i10,2020,Petrol,Manual,65855,Second,21.41,877,1340902
Mahindra,Scorpio,2025,CNG,Automatic,64805,Second,15.32,2228,4377090
Audi,Q5,2025,Electric,Manual,82431,Third,300.0,3009,4642195
Ford,Figo,2025,Diesel,Automatic,99555,Second,12.55,1718,3696463
Tata,Nexon,2017,Petrol,Manual,122661,Second,23.55,1370,697072
Hyundai,Verna,2023,Petrol,Automatic,8235,Second,22.14,1098,1077793
BMW,3 Series,2024,Diesel,Automatic,41396,First,10.11,3101,14336309
Honda,Jazz,2019,Electric,Automatic,25164,Second,300.0,1169,1628669
Volkswagen,Tiguan,2024,Diesel,Automatic,40517,First,18.07,1111,2578311
Mercedes,E-Class,2020,Electric,Automatic,40684,Second,300.0,3230,8020709
Honda,Jazz,2020,CNG,Automatic,68550,Third,21.76,1133,1157757
Mercedes,C-Class,2024,Diesel,Manual,126011,Third,9.47,4901,4925084
Hyundai,Venue,2025,Electric,Manual,84385,Third,300.0,1047,986797
Ford,EcoSport,2022,Electric,Automatic,137805,Third,300.0,2916,1438191
Mahindra,Scorpio,2016,Diesel,Automatic,16612,First,17.9,2653,5258825
Mahindra,Bolero,2016,Petrol,Manual,63196,Second,16.48,2545,2655027
Mercedes,C-Class,2022,CNG,Automatic,136194,Second,10.41,2617,3025020
Tata,Safari,2016,Petrol,Manual,86760,Second,22.55,1151,556503
Mahindra,Bolero,2016,Electric,Automatic,22609,Second,300.0,2114,2052727
Mahindra,Scorpio,2025,Diesel,Manual,50731,Third,12.96,2630,4473318
Volkswagen,Polo,2021,Diesel,Manual,118281,Third,18.29,1205,601195
Ford,Endeavour,2015,Diesel,Manual,21400,Second,12.61,2682,2809621
Mahindra,XUV700,2022,Petrol,Automatic,133315,Third,17.8,2580,2033758
Mercedes,E-Class,2024,Petrol,Automatic,125025,Second,9.21,4528,6731496
Mercedes,C-Class,2025,Diesel,Automatic,67540,First,8.82,3250,13028179
BMW,5 Series,2021,Diesel,Automatic,53694,Second,12.45,3993,6635630
Volkswagen,Vento,2017,Diesel,Automatic,19053,Second,27.52,1167,1655981
Ford,Figo,2023,Electric,Automatic,133902,Third,300.0,2351,3324382
Hyundai,Grand i10,2015,Diesel,Automatic,77051,First,23.38,1030,779900
Mercedes,GLA,2022,Petrol,Manual,147372,Second,11.79,3502,2590114
Volkswagen,Tiguan,2018,Electric,Manual,69888,Third,300.0,1104,420031
Mahindra,Scorpio,2022,Petrol,Manual,96915,First,15.66,2955,3217365
Honda,Amaze,2018,Petrol,Automatic,78684,Third,23.39,1411,952283
Tata,Harrier,2024,CNG,Manual,112897,First,27.92,860,821120
Honda,Amaze,2017,CNG,Manual,107944,Third,19.42,1301,531395
Ford,Endeavour,2016,Petrol,Automatic,77935,Third,17.62,2922,1862489
Volkswagen,Vento,2024,Petrol,Manual,125179,Third,24.64,1450,954739
BMW,5 Series,2018,Electric,Manual,75395,Second,300.0,3322,6332974
Honda,Jazz,2020,Petrol,Manual,125476,First,19.24,816,630666
Maruti,Ertiga,2018,Diesel,Automatic,76832,First,24.55,895,1082289
Audi,Q5,2017,Petrol,Automatic,85087,Third,12.9,4973,3533907
Hyundai,i20,2015,Diesel,Automatic,39786,First,20.26,1407,1376805
Mahindra,Scorpio,2021,Diesel,Automatic,65017,First,12.54,2284,2481891
Mahindra,Thar,2017,Electric,Manual,42448,Third,300.0,1640,1183866
Honda,Jazz,2020,Diesel,Manual,120968,Second,18.87,1022,474331
Hyundai,Grand i10,2021,CNG,Automatic,41655,Second,20.77,1053,769646
Mercedes,GLA,2024,CNG,Manual,84075,Third,11.62,2841,6529728
Ford,Endeavour,2025,Petrol,Manual,106157,Second,13.45,1730,4337898
BMW,3 Series,2020,CNG,Manual,115326,Second,11.82,3496,3675592
Hyundai,i20,2024,Petrol,Manual,61555,Second,27.23,840,1586881
Audi,Q5,2023,Electric,Automatic,110454,Third,300.0,2337,9543405
Tata,Nexon,2019,Petrol,Manual,145611,First,21.91,1134,373355
Ford,Figo,2018,Petrol,Manual,118897,First,14.72,1737,2683614
Audi,Q5,2025,Diesel,Manual,40969,First,8.08,4873,14841863
BMW,X5,2019,Diesel,Automatic,75454,First,13.4,2483,4342067
Ford,Endeavour,2023,Petrol,Automatic,25203,Third,14.73,2516,3420166
Mercedes,C-Class,2020,Diesel,Automatic,35234,First,13.19,2935,4798519
Maruti,Baleno,2015,Electric,Automatic,44343,Second,300.0,983,541469
Audi,A6,2018,CNG,Manual,88869,Second,13.78,3111,5907238
BMW,X5,2015,Diesel,Manual,17039,Third,8.48,3642,5379257
Tata,Harrier,2016,Electric,Manual,57604,Second,300.0,1098,1067598
Toyota,Glanza,2020,Electric,Manual,148277,Third,300.0,2002,1823737
BMW,5 Series,2025,Petrol,Automatic,103638,First,10.15,4978,7460888
Toyota,Glanza,2022,Petrol,Manual,78354,Third,12.26,1690,2060270
BMW,5 Series,2020,Electric,Manual,30054,Third,300.0,4070,7089065
Mercedes,C-Class,2021,Diesel,Manual,73417,Second,14.48,3290,7399778
Mahindra,Thar,2022,CNG,Manual,58139,First,16.68,1778,4614356
Hyundai,Creta,2022,Electric,Automatic,36650,Second,300.0,1348,1637288
Volkswagen,Vento,2016,Petrol,Manual,84748,Third,24.97,1521,252460
Mahindra,XUV700,2016,Diesel,Automatic,139600,Second,16.06,1600,1608733
Honda,City,2021,Electric,Manual,126121,First,300.0,904,772388
Maruti,Baleno,2017,Diesel,Automatic,27030,Second,23.86,1396,617399
Hyundai,Creta,2025,Electric,Manual,91913,First,300.0,925,2243347
Mercedes,E-Class,2021,Electric,Manual,116847,Second,300.0,2707,4710716
Volkswagen,Polo,2015,Diesel,Automatic,113001,Second,22.79,1363,390422
Honda,Jazz,2018,Diesel,Manual,99139,Second,23.45,1291,1116777
Mercedes,GLA,2020,Electric,Automatic,11832,First,300.0,3306,7873124
Tata,Nexon,2022,CNG,Manual,31249,First,24.57,1053,1470241
Maruti,Baleno,2024,Electric,Automatic,51163,First,300.0,1042,3067821
Maruti,Vitara Brezza,2020,Diesel,Manual,147114,Second,19.76,1116,314708
Toyota,Innova,2015,Electric,Manual,57812,Second,300.0,1767,1879719
Mahindra,Scorpio,2015,Diesel,Manual,142965,First,17.76,2247,1658371
Audi,A6,2024,Petrol,Automatic,89568,Second,14.83,2558,9588770
Volkswagen,Tiguan,2020,Diesel,Automatic,50967,First,21.07,1187,1547961
Maruti,Vitara Brezza,2024,Electric,Manual,88418,First,300.0,1426,1171229
Honda,Civic,2016,Diesel,Automatic,49010,Second,26.85,1451,644092
Audi,Q5,2020,Electric,Manual,59967,Second,300.0,3022,7494198
Hyundai,i20,2015,Electric,Automatic,115009,Third,300.0,970,1039385
Mahindra,Bolero,2016,Electric,Manual,123302,First,300.0,1650,1082450
Mahindra,Thar,2016,Petrol,Automatic,103424,First,16.39,1829,3289582
Hyundai,Verna,2024,Electric,Manual,48253,Second,300.0,1421,1170434
Mahindra,XUV700,2018,Electric,Automatic,78799,Third,300.0,2109,1442408
BMW,5 Series,2017,Petrol,Automatic,117094,First,10.06,2358,5800670
Maruti,Baleno,2017,CNG,Manual,35279,Second,25.85,1115,1246225
Audi,A6,2016,Electric,Manual,104993,Second,300.0,3513,2539812
Volkswagen,Vento,2018,CNG,Manual,30350,First,24.68,887,1621365
Mercedes,C-Class,2023,Petrol,Automatic,114741,Third,12.81,4193,6614993
Toyota,Glanza,2019,Petrol,Automatic,14103,Third,15.43,2528,4001017
Audi,Q5,2017,Petrol,Automatic,48821,First,13.66,2867,4445641
Hyundai,Venue,2018,Diesel,Automatic,22566,Second,21.88,889,1680915
Tata,Punch,2022,Petrol,Automatic,113643,First,19.48,953,838900
Mercedes,C-Class,2019,CNG,Automatic,105412,Second,11.4,4682,5857159
Tata,Safari,2017,Electric,Manual,91899,Second,300.0,1507,1392726
Mahindra,Scorpio,2020,CNG,Automatic,133875,Second,16.11,2925,1693170
Volkswagen,Vento,2019,Electric,Manual,120793,First,300.0,1016,1428916
BMW,5 Series,2015,Diesel,Manual,137853,Second,8.95,3652,4022294
Maruti,Baleno,2018,Diesel,Manual,13669,First,18.51,1267,1641993
Tata,Harrier,2022,Electric,Manual,13011,Third,300.0,1047,1849033
Volkswagen,Tiguan,2023,CNG,Automatic,72806,First,26.31,1566,922952
Ford,EcoSport,2017,Diesel,Manual,64011,Third,13.24,2887,2806915
Maruti,Vitara Brezza,2015,Electric,Manual,50403,Third,300.0,1415,625548
Tata,Harrier,2021,Electric,Automatic,71059,Second,300.0,1023,2572089
Ford,Figo,2016,Petrol,Automatic,79102,Third,16.11,2111,2000016
Tata,Harrier,2019,CNG,Automatic,44303,First,25.65,1329,788653
Mercedes,E-Class,2025,CNG,Manual,11672,Third,11.48,4684,7018363
Ford,Endeavour,2021,Petrol,Manual,63291,Second,15.21,2905,3707686
Audi,A6,2023,CNG,Manual,52483,Third,8.68,3203,4438490
BMW,3 Series,2025,CNG,Manual,98135,First,13.21,2914,7384662
Mahindra,Thar,2019,CNG,Automatic,128348,First,17.2,1609,3562666
Mercedes,C-Class,2022,Diesel,Manual,105052,Third,10.09,4170,3155513
Honda,Amaze,2018,CNG,Automatic,124949,Third,21.16,946,523544
Volkswagen,Vento,2025,Diesel,Automatic,20207,Third,22.52,804,1521768
Honda,Amaze,2022,Petrol,Manual,118694,Third,22.29,1448,1021733
Ford,EcoSport,2015,Diesel,Automatic,89466,First,13.14,2587,1156213
Toyota,Innova,2020,CNG,Manual,105545,First,15.53,2530,1687184
Maruti,Alto,2019,Electric,Automatic,40072,Second,300.0,1150,2232155
Toyota,Innova,2021,Petrol,Manual,39394,First,16.4,1932,5110317
Hyundai,Verna,2025,Petrol,Automatic,72053,Third,23.35,1589,652704
Maruti,Vitara Brezza,2016,Petrol,Manual,35353,Third,22.44,1226,452000
Volkswagen,Tiguan,2017,Diesel,Manual,115328,Second,19.01,1477,982528
Mercedes,GLA,2017,Electric,Manual,35863,Third,300.0,3157,3739732
Mercedes,C-Class,2019,Diesel,Automatic,112415,Third,9.12,3209,6141385
Toyota,Glanza,2020,Diesel,Manual,28331,First,17.01,1726,4546478
Hyundai,Grand i10,2016,Petrol,Automatic,65597,Third,27.89,1267,702213
Maruti,Swift,2017,Petrol,Automatic,86974,Second,25.39,1236,557401
Maruti,Swift,2017,Diesel,Automatic,119744,Second,20.68,1436,469032
